Configuration,Vertices,Max Weight,Dial Time (ms),Dial Memory (MB),Binary Time (ms),Binary Memory (MB),Pairing Time (ms),Pairing Memory (MB),Winner,Speedup
n=100, W=10,100,2.48,0.07,1.22,0.01,1.59,0.02,Binary,2.03x
n=100, W=100,100,32.83,0.66,1.27,0.01,1.54,0.01,Binary,25.91x
n=100, W=1000,100,197.72,6.11,2.97,0.02,4.02,0.02,Binary,66.66x
n=100, W=10000,100,2191.37,61.03,3.50,0.02,4.56,0.02,Binary,625.24x
n=500, W=10,500,22.56,0.37,11.59,0.08,12.33,0.07,Binary,1.95x
n=500, W=100,500,137.49,3.20,15.00,0.11,13.87,0.07,Pairing,9.91x
n=500, W=1000,500,1175.09,30.71,56.13,0.14,65.82,0.12,Binary,20.93x
n=500, W=10000,500,11680.16,308.62,60.63,0.18,63.66,0.08,Binary,192.66x
n=1000, W=10,1000,54.73,0.71,28.73,0.17,34.21,0.14,Binary,1.90x
n=1000, W=100,1000,238.44,6.15,42.43,0.25,33.22,0.14,Pairing,7.18x
n=1000, W=1000,1000,2818.53,61.56,200.68,0.31,167.53,0.15,Pairing,16.82x
n=1000, W=10000,1000,25533.13,618.77,207.67,0.42,255.14,0.17,Binary,122.95x
n=10000, W=10,10000,N/A,N/A,1596.28,2.01,1197.95,1.38,Pairing,1.33x
n=10000, W=100,10000,N/A,N/A,1628.13,3.06,1260.76,1.42,Pairing,1.29x
n=10000, W=1000,10000,N/A,N/A,13036.29,4.44,15894.31,1.55,Binary,1.22x
